date,action,direction,price,balance,signal,pnl
2024-08-08,OPEN,SHORT,1.0928125381469729,99315.55986404433,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00278, BulkPressure=-0.00513, EntropyRegime=1.02, Neighbors=10', 'momentum': np.float64(-0.002779908406329751), 'bulk_pressure': np.float64(-0.005127893598606773), 'entropy_regime': np.float64(1.0232109287269064)}",
2024-08-09,CLOSE,,1.0915720462799072,99439.6090507509,"{'direction': 1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=-0.00027, BulkPressure=0.01657, EntropyRegime=1.02, Neighbors=10', 'momentum': np.float64(-0.000266665671948213), 'bulk_pressure': np.float64(0.01657394617058861), 'entropy_regime': np.float64(1.0179743160407075)}",124.04918670656517
2024-08-12,OPEN,SHORT,1.091381311416626,99439.6090507509,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00134, BulkPressure=-0.01195, EntropyRegime=1.02, Neighbors=10', 'momentum': np.float64(-0.0013377089927077313), 'bulk_pressure': np.float64(-0.011946079831984169), 'entropy_regime': np.float64(1.0160764752722216)}",
2024-08-13,CLOSE,,1.0936251878738403,99215.22140502947,"{'direction': 1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=-0.00031, BulkPressure=0.00240, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.00030978578532297465), 'bulk_pressure': np.float64(0.0023974463152220227), 'entropy_regime': np.float64(1.014596186810629)}",-224.38764572143555
2024-08-20,OPEN,LONG,1.1086474657058716,99215.22140502947,"{'direction': 1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=0.00418, BulkPressure=0.00233, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(0.004182469735850769), 'bulk_pressure': np.float64(0.0023271795223071042), 'entropy_regime': np.float64(1.0121247584603867)}",
2024-08-26,CLOSE,,1.118793487548828,100229.8235893251,"{'direction': 1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=-0.00464, BulkPressure=0.00538, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.0046421284206979605), 'bulk_pressure': np.float64(0.0053811692689070545), 'entropy_regime': np.float64(1.0115244184718848)}",1014.6021842956321
2024-08-28,OPEN,SHORT,1.117793083190918,100229.8235893251,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00366, BulkPressure=-0.01441, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.003655752817356306), 'bulk_pressure': np.float64(-0.014407111400869274), 'entropy_regime': np.float64(1.0112221011506684)}",
2024-08-29,CLOSE,,1.1124955415725708,100759.57775115981,"{'direction': 1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=-0.00047, BulkPressure=0.00750, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.00046902292518786744), 'bulk_pressure': np.float64(0.007501961723218698), 'entropy_regime': np.float64(1.0118557919989053)}",529.7541618347168
2024-08-30,OPEN,SHORT,1.10804545879364,100759.57775115981,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00612, BulkPressure=-0.00341, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.00612005534321608), 'bulk_pressure': np.float64(-0.0034104791609320235), 'entropy_regime': np.float64(1.0132812991701208)}",
2024-09-04,CLOSE,,1.1048868894577026,101075.43468475353,"{'direction': 1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=-0.00189, BulkPressure=0.01979, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.0018917821629880816), 'bulk_pressure': np.float64(0.019786127017161877), 'entropy_regime': np.float64(1.0138326954826473)}",315.8569335937278
